disease,symptoms
drug abuse (methamphetamine),"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, palpitations, abusing alcohol, hostile behavior, drug abuse, feeling ill"
torticollis,"abnormal involuntary movements, throat swelling, headache, arm pain, neck pain, neck stiffness or tightness, shoulder pain, neck cramps or spasms"
poisoning due to antihypertensives,"depressive or psychotic symptoms, sharp abdominal pain, weakness"
tension headache,"anxiety and nervousness, dizziness, headache, nausea, neck pain, neck stiffness or tightness, chills, back cramps or spasms"
alcohol intoxication,"anxiety and nervousness, depression, depressive or psychotic symptoms, sharp chest pain, abnormal involuntary movements, abusing alcohol, vomiting, problems with movement"
scurvy,"sharp abdominal pain, knee lump or mass"
narcolepsy,"shortness of breath, insomnia, headache, disturbance of memory, fatigue, sleepiness, apnea"
food allergy,"cough, nasal congestion, vomiting, hand or finger swelling, lip swelling, abnormal appearing skin, allergic reaction, itching of skin, skin rash"
labyrinthitis,"dizziness, diminished hearing, vomiting, headache, nausea, ear pain, plugged feeling in ear, spots or clouds in vision, loss of sensation, sweating"
anxiety,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, sharp chest pain, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, headache, increased heart rate, fears and phobias"
impulse control disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, excessive appetite, excessive anger, delusions or hallucinations, temper problems"
stenosis of the tear duct,"cough, white discharge from eye, symptoms of eye, abnormal movement of eyelid, lacrimation"
abscess of nose,"sore throat, cough, nasal congestion, irritable infant, vomiting, fever, coryza, sinus congestion"
omphalitis,"emotional symptoms, flatulence, irregular belly button"
leukemia,"fever, muscle stiffness or tightness, fatigue, mouth pain"
bell palsy,"abnormal involuntary movements, headache, facial pain, diminished vision, symptoms of eye, peripheral edema, weakness, loss of sensation, focal weakness, symptoms of the face"
conjunctivitis due to allergy,"cough, nasal congestion, diminished vision, symptoms of eye, pain in eye, eye redness, lacrimation, itchiness of eye, eye burns or stings, allergic reaction, swollen eye, sneezing"
drug reaction,"shortness of breath, dizziness, throat swelling, vomiting, headache, nausea, abnormal appearing skin, peripheral edema, allergic reaction, itching of skin, skin rash"
adrenal cancer,"dizziness, diminished hearing"
myopia,"eye deviation, diminished vision, symptoms of eye, pain in eye, eye moves abnormally, foreign body sensation in eye, spots or clouds in vision, eye redness, blindness"
osteoarthritis,"leg pain, hip pain, hand or finger pain, back pain, knee pain, ankle pain, knee weakness, elbow pain, knee swelling, muscle pain, joint pain"
thyroid disease,"lump in throat, throat feels tight, difficulty in swallowing, neck mass"
pharyngitis,"hoarse voice, sore throat, cough, wheezing, fever"
chronic rheumatic fever,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, throat feels tight, increased heart rate"
hypocalcemia,"shortness of breath, sharp chest pain, abnormal involuntary movements, constipation, leg weakness"
macular degeneration,"diminished vision, double vision, symptoms of eye, pain in eye, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision, lacrimation, itchiness of eye, blindness, bleeding from eye"
pneumonia,"shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, wheezing, weakness, fever, difficulty breathing, chills, coryza"
cold sore,"sore throat, skin swelling, vaginal itching, lip swelling, mouth ulcer, skin rash, lip sore"
premature ventricular contractions (pvcs),"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, fainting, impotence, sleepiness"
testicular cancer,"anxiety and nervousness, diminished hearing, mass in scrotum"
hydrocephalus,"depressive or psychotic symptoms, abnormal involuntary movements, lack of growth, vomiting, headache, problems with movement, seizures"
breast cancer,"hot flashes, bleeding or discharge from nipple, pain or soreness of breast, lump or mass of breast"
anemia due to malignancy,"shortness of breath, difficulty in swallowing, flatulence, fatigue"
esophageal varices,"dizziness, nausea"
endometrial cancer,"vaginal itching, hot flashes, intermenstrual bleeding, absence of menstruation, vaginal bleeding after menopause"
cystic fibrosis,"cough, feeling ill, intermenstrual bleeding, decreased appetite"
intertrigo (skin condition),"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin dryness, peeling, scaliness, or roughness, skin rash"
parathyroid adenoma,"anxiety and nervousness, throat feels tight, disturbance of memory, shoulder pain"
glucocorticoid deficiency,"shortness of breath, lack of growth, diarrhea"
temporomandibular joint disorder,"sore throat, nasal congestion, diminished hearing, headache, facial pain, pain in eye, neck pain, ear pain"
wilson disease,"insomnia, cough, sleepiness"
vesicoureteral reflux,"suprapubic pain, involuntary urination, blood in urine, fever"
vitamin a deficiency,"hand or finger pain, knee lump or mass"
gonorrhea,"sharp abdominal pain, vaginal itching, vaginal discharge, problems with movement, vaginal pain, penile discharge"
fracture of the rib,"shortness of breath, sharp chest pain, hip pain, back pain, bones are painful, side pain, shoulder pain, ache all over, rib pain, back mass or lump, hurts to breath"
ependymoma,"emotional symptoms, headache, diminished vision, pain in eye"
hepatitis due to a toxin,"depression, jaundice, sharp abdominal pain, feeling ill, vomiting, nausea, rectal bleeding, itching of skin"
vaginal cyst,"sharp abdominal pain, lower abdominal pain, vaginal discharge, intermenstrual bleeding, pain during pregnancy, pelvic pain, vaginal pain, problems during pregnancy, spotting or bleeding during pregnancy, cramps and spasms, blood clots during menstrual periods, heavy menstrual flow"
open wound of the shoulder,"abusing alcohol, arm pain, shoulder pain"
ectopic pregnancy,"dizziness, sharp abdominal pain, nausea, lower abdominal pain, vaginal discharge, intermenstrual bleeding, pain during pregnancy, pelvic pain"
chronic knee pain,"leg pain, hip pain, back pain, knee pain, knee weakness, knee swelling, knee stiffness or tightness, leg swelling, joint pain"
pinguecula,"headache, symptoms of eye, lacrimation, itching of scrotum"
hypergammaglobulinemia,"blood in stool, fatigue"
alcohol abuse,"anxiety and nervousness, depression, depressive or psychotic symptoms, abusing alcohol, hostile behavior, drug abuse, vomiting blood, smoking problems, low self-esteem"
carpal tunnel syndrome,"hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, hand or finger stiffness or tightness, neck pain, elbow pain, loss of sensation, paresthesia, arm weakness"
pituitary disorder,"lack of growth, headache, hot flashes, pain in eye"
kidney stone,"retention of urine, suprapubic pain, sharp abdominal pain, vomiting, painful urination, frequent urination, lower abdominal pain, blood in urine, back pain, low back pain, side pain"
autism,"depressive or psychotic symptoms, difficulty speaking, lack of growth, hostile behavior, seizures, constipation, temper problems, long menstrual periods, antisocial behavior"
cat scratch disease,"skin swelling, groin mass, itchy eyelid"
chronic glaucoma,"white discharge from eye, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, lacrimation, itchiness of eye, eye burns or stings, mass on eyelid"
retinal detachment,"diminished vision, double vision, symptoms of eye, pain in eye, spots or clouds in vision, lacrimation, itchiness of eye, blindness"
aplastic anemia,"lack of growth, nausea, weakness, slurring words, fever, fatigue"
overflow incontinence,"retention of urine, suprapubic pain, involuntary urination, blood in urine, hand or finger stiffness or tightness, impotence, symptoms of bladder"
hemolytic anemia,"cough, nausea, skin growth, fatigue"
lateral epicondylitis (tennis elbow),"hand or finger pain, wrist pain, arm pain, hand or finger stiffness or tightness, elbow pain, loss of sensation, shoulder pain, joint pain"
open wound of the eye,"white discharge from eye, diminished vision, symptoms of eye, pain in eye, spots or clouds in vision"
syphilis,"headache, vaginal discharge, muscle pain, skin rash"
diabetic kidney disease,"blood in stool, impotence"
nose disorder,"sore throat, cough, nasal congestion, headache, facial pain, ear pain, fever, difficulty breathing, coryza, sinus congestion, painful sinuses, nosebleed"
drug withdrawal,"anxiety and nervousness, depression, dizziness, sharp abdominal pain, vomiting, nausea, chills"
dental caries,"skin swelling, toothache, facial pain, restlessness, peripheral edema, ear pain, jaw swelling, neck swelling, gum pain, skin irritation, mouth pain, pain in gums"
hypercholesterolemia,"sharp chest pain, palpitations, hand or finger stiffness or tightness, weight gain, excessive urination at night"
fracture of the patella,"leg pain, hip pain, knee pain, bones are painful, knee swelling, leg weakness"
kidney failure,"shortness of breath, sharp chest pain, vomiting, nausea, arm swelling, leg swelling, swollen abdomen, symptoms of the kidneys"
fracture of the neck,"leg pain, hip pain, low back pain, elbow pain, lower body pain"
muscle spasm,"sharp chest pain, abnormal involuntary movements, leg pain, headache, arm pain, back pain, neck pain, low back pain, loss of sensation, muscle cramps, contractures, or spasms"
hemophilia,"cough, leg pain, frontal headache, bleeding gums"
hyperosmotic hyperketotic state,"cough, frequent urination, weakness"
peritonsillar abscess,"sore throat, throat swelling, throat feels tight, difficulty in swallowing, headache, swollen lymph nodes, ear pain"
gastroparesis,"sharp chest pain, sharp abdominal pain, vomiting, nausea, regurgitation, burning abdominal pain, upper abdominal pain, regurgitation.1"
itching of unknown cause,"vaginal itching, abnormal appearing skin, problems during pregnancy, allergic reaction, fluid retention, itching of skin, skin dryness, peeling, scaliness, or roughness, itchy scalp, skin rash"
polycythemia vera,"dizziness, headache, symptoms of eye, weight gain, fatigue"
thrombocytopenia,"sharp chest pain, blood in stool, blood in urine, irregular appearing scalp, fatigue, nosebleed, bleeding gums"
head and neck cancer,"hoarse voice, sore throat, throat feels tight, difficulty in swallowing, neck mass, plugged feeling in ear, hemoptysis, mouth pain"
pseudohypoparathyroidism,"leg pain, elbow weakness, wrist pain, knee pain"
goiter,"lump in throat, difficulty in swallowing, hot flashes, weight gain, fatigue"
urge incontinence,"retention of urine, vaginal itching, painful urination, involuntary urination, frequent urination, blood in urine, excessive urination at night, constipation, symptoms of bladder"
edward syndrome,"suprapubic pain, cross-eyed"
open wound of the arm,"arm pain, knee weakness, elbow pain, redness in or around nose"
muscular dystrophy,"cough, nasal congestion, hip pain, feeling cold, fatigue"
mittelschmerz,"sharp abdominal pain, vomiting, diarrhea, lower abdominal pain, pelvic pain, painful menstruation"
corneal abrasion,"white discharge from eye, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, itchiness of eye, eyelid swelling"
anemia of chronic disease,"dizziness, emotional symptoms, feeling ill, weakness"
dysthymic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, excessive anger, slurring words, disturbance of memory, temper problems, loss of sex drive"
scarlet fever,"sore throat, cough, throat swelling, skin swelling, fever, skin rash"
hypertensive heart disease,"shortness of breath, sharp chest pain, insomnia, chest tightness, palpitations, leg swelling, heartburn, weakness, difficulty breathing, fatigue, recent pregnancy"
drug abuse (barbiturates),"anxiety and nervousness, depression, abnormal involuntary movements, hostile behavior, drug abuse, delusions or hallucinations"
polycystic ovarian syndrome (pcos),"hot flashes, intermenstrual bleeding, pelvic pain, weight gain, absence of menstruation, long menstrual periods, unpredictable menstruation, infertility"
encephalitis,"dizziness, insomnia, headache, loss of sensation, disturbance of memory"
cyst of the eyelid,"skin growth, diminished vision, abnormal movement of eyelid, muscle swelling, mass on eyelid"
balanitis,"cough, suprapubic pain, painful urination, abnormal appearing skin, itching of skin, skin rash, penis pain, penis redness, diaper rash"
foreign body in the throat,"shortness of breath, sore throat, cough, throat swelling, difficulty in swallowing, vomiting, infant spitting up"
drug abuse (cocaine),"depression, depressive or psychotic symptoms, sharp chest pain, abusing alcohol, hostile behavior, drug abuse, excessive anger, delusions or hallucinations, fears and phobias"
optic neuritis,"retention of urine, headache, diminished vision, blindness"
alcohol withdrawal,"depressive or psychotic symptoms, sharp chest pain, dizziness, abnormal involuntary movements, abusing alcohol, fainting, vomiting, seizures, delusions or hallucinations, antisocial behavior"
premature atrial contractions (pacs),"shortness of breath, dizziness, palpitations, irregular heartbeat, fainting, fatigue, muscle swelling"
hemiplegia,"abnormal involuntary movements, difficulty speaking, headache, arm stiffness or tightness, problems with movement, weakness, loss of sensation, slurring words, seizures"
hammer toe,"skin lesion, skin growth, foot or toe pain, loss of sensation"
open wound of the cheek,"wrist pain, facial pain"
joint effusion,"wrist pain, wrist swelling, knee pain, ankle pain, elbow pain, knee swelling, problems with movement, knee stiffness or tightness, ankle swelling"
open wound of the knee,"leg pain, leg swelling"
meningioma,"depressive or psychotic symptoms, dizziness, headache, weakness, disturbance of memory"
brain cancer,"difficulty speaking, headache, weakness, decreased appetite, focal weakness, slurring words, disturbance of memory, seizures"
placental abruption,"emotional symptoms, nausea, spotting or bleeding during pregnancy, uterine contractions"
seasonal allergies (hay fever),"sore throat, cough, nasal congestion, headache, ear pain, frontal headache, lacrimation, itchiness of eye, coryza, allergic reaction, sneezing"
lung cancer,"shortness of breath, cough, smoking problems, decreased appetite, fatigue, hemoptysis, leg weakness"
primary kidney disease,"lack of growth, blood in urine, impotence, peripheral edema, symptoms of the kidneys"
uterine cancer,"groin mass, pelvic pain, vaginal bleeding after menopause"
dry eye of unknown cause,"white discharge from eye, diminished vision, double vision, symptoms of eye, pain in eye, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye"
fibrocystic breast disease,"intermenstrual bleeding, bleeding or discharge from nipple, pain or soreness of breast, lump or mass of breast"
fungal infection of the hair,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, pelvic pain, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation, itchy scalp, skin rash"
tooth abscess,"skin swelling, lip swelling, toothache, facial pain, peripheral edema, jaw swelling, neck swelling, gum pain, mouth pain, pain in gums"
envenomation from spider or animal bite,"skin swelling, hand or finger swelling, arm swelling, abnormal appearing skin, foot or toe swelling, paresthesia, allergic reaction, fluid retention, itching of skin"
vacterl syndrome,"suprapubic pain, emotional symptoms"
vertebrobasilar insufficiency,"sharp chest pain, dizziness, leg pain, back pain"
rectal disorder,"blood in stool, sharp abdominal pain, diarrhea, pain of the anus, burning abdominal pain, heartburn, cramps and spasms, melena, rectal bleeding, constipation, itching of the anus"
atonic bladder,"retention of urine, suprapubic pain, emotional symptoms, impotence, symptoms of bladder"
benign paroxysmal positional vertical (bppv),"dizziness, irregular heartbeat, fainting, vomiting, headache, nausea, problems with movement, weakness, frontal headache"
blepharospasm,"headache, diminished vision, abnormal movement of eyelid, low back weakness"
sarcoidosis,"shortness of breath, sharp chest pain, chest tightness, cough, headache, facial pain, pain in eye, peripheral edema"
metastatic cancer,"vaginal dryness, neck mass, decreased appetite, focal weakness, fatigue"
trigger finger (finger disorder),"hand or finger pain, wrist pain, hand or finger swelling, hand or finger stiffness or tightness, bones are painful, hand or finger cramps or spasms"
stye,"skin swelling, abnormal appearing skin, symptoms of eye, pain in eye, eye redness, itchiness of eye, eye burns or stings, mass on eyelid, swollen eye, eyelid swelling, eyelid lesion or rash"
hemochromatosis,"difficulty speaking, abnormal appearing skin, ache all over"
osteochondroma,"lower abdominal pain, lip swelling, abnormal appearing skin, skin lesion, skin growth, knee pain, foot or toe pain"
cushing syndrome,"emotional symptoms, weight gain"
typhoid fever,"wrist pain, fever"
vitreous degeneration,"diminished vision, double vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation"
atrophic skin condition,"skin swelling, lip swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, skin moles, skin irritation, wrinkles on skin"
aspergillosis,"shortness of breath, knee lump or mass"
uterine atony,"sharp abdominal pain, lower abdominal pain, blood in urine, intermenstrual bleeding, pain during pregnancy, problems during pregnancy, spotting or bleeding during pregnancy, uterine contractions, back cramps or spasms"
trichinosis,"nasal congestion, knee lump or mass"
whooping cough,"shortness of breath, sore throat, cough, nasal congestion, vomiting"
open wound of the lip,"lip swelling, dry lips, facial pain, mouth ulcer, mouth pain"
subacute thyroiditis,"palpitations, blood in stool, pain during pregnancy, problems during pregnancy, uterine contractions"
oral mucosal lesion,"sore throat, cough, lip swelling, toothache, facial pain, mouth ulcer, fever, tongue lesions, gum pain, mouth pain"
open wound due to trauma,"wrist swelling, skin on arm or hand looks infected"
intracerebral hemorrhage,"depressive or psychotic symptoms, dizziness, vomiting, headache, nausea, diminished vision, weakness, blindness, focal weakness, seizures"
alzheimer disease,"depression, depressive or psychotic symptoms, difficulty speaking, hostile behavior, irregular appearing scalp, eye burns or stings, disturbance of memory, delusions or hallucinations"
vaginismus,"suprapubic pain, sharp abdominal pain, pain during intercourse, lower abdominal pain, pelvic pain, vaginal pain"
systemic lupus erythematosis (sle),"sharp chest pain, hand or finger stiffness or tightness, knee pain, bones are painful, leg swelling, ache all over"
premature ovarian failure,"lack of growth, pelvic pain, weight gain, absence of menstruation, infertility"
thoracic outlet syndrome,"sharp chest pain, hand or finger pain, arm pain, decreased appetite, loss of sensation, shoulder pain"
ganglion cyst,"leg pain, hand or finger pain, wrist swelling, skin growth, knee pain, foot or toe pain, knee swelling, knee lump or mass, hand or finger lump or mass, wrist lump or mass"
dislocation of the knee,"knee pain, knee swelling, knee stiffness or tightness"
crohn disease,"blood in stool, sharp abdominal pain, vomiting, nausea, diarrhea, pain of the anus, regurgitation, burning abdominal pain, regurgitation.1, rectal bleeding"
postoperative infection,"skin swelling, sharp abdominal pain, abnormal appearing skin, jaw swelling, fever, skin on leg or foot looks infected"
folate deficiency,"shortness of breath, sharp chest pain, sharp abdominal pain, vomiting blood, difficulty breathing"
fluid overload,"shortness of breath, sharp chest pain, sharp abdominal pain, vomiting, nausea, hand or finger swelling, peripheral edema, fluid retention"
atrial flutter,"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, frequent urination, swollen lymph nodes, increased heart rate"
skin disorder,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation"
floaters,"diminished vision, symptoms of eye, foreign body sensation in eye, spots or clouds in vision, lacrimation"
tooth disorder,"headache, toothache, facial pain, mouth ulcer, peripheral edema, ear pain, jaw swelling, gum pain, bleeding gums, pain in gums"
heart attack,"shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, fainting, nausea, arm pain, heartburn, increased heart rate, burning chest pain, sweating"
open wound of the abdomen,"sharp abdominal pain, blindness, irregular belly button"
fracture of the leg,"leg pain, hip pain, knee pain, ankle pain, knee weakness, knee swelling, problems with movement, leg swelling, leg stiffness or tightness, ankle swelling"
oral thrush (yeast infection),"sore throat, cough, nasal congestion, irritable infant, mouth ulcer, fever, tongue lesions, constipation, skin rash, mouth pain"
pityriasis rosea,"skin swelling, vaginal itching, abnormal appearing skin, itching of skin, warts, skin rash"
allergy to animals,"sore throat, cough, nasal congestion, cross-eyed, allergic reaction"
orthostatic hypotension,"sharp chest pain, dizziness, abnormal involuntary movements, irregular heartbeat, fainting, feeling ill, headache, weakness"
obstructive sleep apnea (osa),"shortness of breath, insomnia, abnormal involuntary movements, difficulty in swallowing, mouth dryness, weight gain, difficulty breathing, fatigue, sleepiness, apnea, abnormal breathing sounds, sweating"
hypokalemia,"shortness of breath, sharp chest pain, fainting, sharp abdominal pain, vomiting, headache, nausea, diarrhea, loss of sensation, fever"
psoriasis,"skin swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, skin moles, joint pain, itching of skin, skin dryness, peeling, scaliness, or roughness, itchy scalp, skin rash"
dislocation of the shoulder,"wrist pain, arm pain, arm stiffness or tightness, arm swelling, neck mass, shoulder pain"
intussusception,"blood in stool, emotional symptoms, sharp abdominal pain"
cervicitis,"suprapubic pain, sharp abdominal pain, nausea, vaginal itching, painful urination, vaginal discharge, pain during pregnancy, pelvic pain"
abscess of the pharynx,"sharp chest pain, sore throat, cough, nasal congestion, throat swelling, difficulty in swallowing, headache, fever"
primary thrombocythemia,"dizziness, flatulence, fatigue"
arthritis of the hip,"leg pain, hip pain, back pain, low back pain, pelvic pain, knee pain, problems with movement, ache all over, lower body pain, joint pain, groin pain, hip stiffness or tightness"
decubitus ulcer,"difficulty speaking, skin lesion, skin on leg or foot looks infected, incontinence of stool"
hypernatremia,"shortness of breath, fainting, weakness, fever, difficulty breathing"
sensorineural hearing loss,"dizziness, hoarse voice, nasal congestion, diminished hearing, throat feels tight, ear pain, ringing in ear, plugged feeling in ear, itchy ear(s), fluid in ear"
chronic ulcer,"skin lesion, skin pain"
osteoporosis,"hip pain, back pain, bones are painful, disturbance of memory, leg cramps or spasms, stomach bloating, joint pain, muscle cramps, contractures, or spasms, early or late onset of menopause"
ileus,"sharp abdominal pain, vomiting, headache, nausea, diarrhea, lower abdominal pain, pain of the anus, burning abdominal pain, constipation"
sickle cell crisis,"sharp chest pain, leg pain, hip pain, sharp abdominal pain, vomiting, arm pain, back pain, low back pain, burning abdominal pain, knee pain, ache all over"
urethritis,"retention of urine, suprapubic pain, sharp abdominal pain, vaginal itching, painful urination, frequent urination, blood in urine, penis pain, penile discharge"
prostatitis,"retention of urine, sharp abdominal pain, painful urination, frequent urination, lower abdominal pain, blood in urine, back pain, impotence, fever, chills"
otitis externa (swimmer's ear),"sore throat, cough, diminished hearing, facial pain, ear pain, ringing in ear, plugged feeling in ear, itchy ear(s), fluid in ear, fever, redness in ear"
poisoning due to anticonvulsants,"depression, dizziness, difficulty speaking, problems with movement"
testicular torsion,"emotional symptoms, symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, sharp abdominal pain, back pain"
tricuspid valve disease,"anxiety and nervousness, emotional symptoms"
urethral stricture,"retention of urine, suprapubic pain, symptoms of the scrotum and testes, painful urination, involuntary urination, blood in urine, symptoms of prostate, symptoms of bladder"
vitamin d deficiency,"hot flashes, arm stiffness or tightness, fatigue"
hydatidiform mole,"dizziness, sharp abdominal pain, diminished vision, pain during pregnancy, spotting or bleeding during pregnancy"
pain disorder affecting the neck,"dizziness, insomnia, headache, arm pain, back pain, neck pain, low back pain, neck stiffness or tightness, disturbance of memory"
tuberculosis,"shortness of breath, cough, vaginal itching, congestion in chest"
pelvic fistula,"dizziness, elbow weakness, vaginal discharge"
acute bronchiolitis,"shortness of breath, cough, nasal congestion, irritable infant, vomiting, wheezing, decreased appetite, fever, difficulty breathing, coryza, pulling at ears, hurts to breath"
presbyopia,"difficulty speaking, diminished vision, symptoms of eye, pain in eye, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision"
dementia,"depressive or psychotic symptoms, insomnia, abnormal involuntary movements, hostile behavior, problems with movement, focal weakness, disturbance of memory, delusions or hallucinations"
insect bite,"skin swelling, hand or finger swelling, lip swelling, abnormal appearing skin, skin lesion, peripheral edema, leg swelling, fluid retention, itching of skin, skin rash"
paroxysmal ventricular tachycardia,"shortness of breath, sharp chest pain, dizziness, chest tightness, irregular heartbeat, fainting, weight gain, decreased heart rate, increased heart rate, fatigue"
congenital heart defect,"sharp chest pain, lack of growth, arm swelling, hand or finger stiffness or tightness"
connective tissue disorder,"difficulty in swallowing, feeling ill, joint pain"
foreign body in the eye,"white discharge from eye, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, itchiness of eye, eye burns or stings"
poisoning due to gas,"shortness of breath, sharp chest pain, dizziness, cough, headache, wheezing, drainage in throat"
pyogenic skin infection,"skin swelling, leg pain, hand or finger pain, hand or finger swelling, abnormal appearing skin, skin lesion, peripheral edema, foot or toe pain, leg swelling, foot or toe swelling, skin rash"
endometrial hyperplasia,"back weakness, involuntary urination, heavy menstrual flow, unpredictable menstruation, vaginal bleeding after menopause"
acanthosis nigricans,"skin lesion, acne or pimples, skin growth, weight gain"
central atherosclerosis,"shortness of breath, irregular heartbeat, blood in urine, fatigue"
viral exanthem,"cough, nasal congestion, skin swelling, vomiting, abnormal appearing skin, decreased appetite, fever, pulling at ears, itching of skin, skin rash"
noninfectious gastroenteritis,"blood in stool, sharp abdominal pain, vomiting, headache, nausea, diarrhea, burning abdominal pain, decreased appetite, fever, chills, rectal bleeding, fluid retention"
benign prostatic hyperplasia (bph),"retention of urine, swelling of scrotum, pain in testicles, involuntary urination, frequent urination, blood in urine, impotence, symptoms of prostate, excessive urination at night, symptoms of bladder, hesitancy, low urine output"
menopause,"vaginal itching, involuntary urination, hot flashes, absence of menstruation, unpredictable menstruation, sweating"
primary immunodeficiency,"cough, arm stiffness or tightness, frontal headache, decreased appetite, fatigue"
ovarian cancer,"groin mass, sharp abdominal pain, decreased appetite, stomach bloating"
cataract,"diminished vision, double vision, symptoms of eye, pain in eye, abnormal movement of eyelid, spots or clouds in vision, lacrimation, itchiness of eye, blindness, cloudy eye"
dislocation of the hip,"leg pain, hip pain, abusing alcohol"
spinal stenosis,"leg pain, hip pain, headache, arm pain, back pain, neck pain, low back pain, problems with movement, loss of sensation, paresthesia, shoulder pain, lower body pain"
intestinal obstruction,"retention of urine, sharp abdominal pain, vomiting, nausea, vaginal itching, pain of the anus, burning abdominal pain, stomach bloating, constipation"
heart contusion,"depression, elbow weakness"
congenital malformation syndrome,"diminished hearing, lack of growth, seizures, gum pain"
sporotrichosis,"wrist pain, knee pain"
lymphangitis,"arm pain, neck swelling"
wernicke korsakoff syndrome,"anxiety and nervousness, depressive or psychotic symptoms, abusing alcohol"
intestinal disease,"sharp chest pain, fainting, sharp abdominal pain, vomiting, nausea, diarrhea, regurgitation, burning abdominal pain, regurgitation.1"
acute bronchitis,"shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, headache, wheezing, fever, difficulty breathing, coughing up sputum, coryza, congestion in chest"
persistent vomiting of unknown cause,"dizziness, abnormal involuntary movements, sharp abdominal pain, vomiting, nausea, diarrhea, fever"
open wound of the foot,"skin lesion, foot or toe pain, foot or toe swelling, skin on leg or foot looks infected, irregular appearing nails, foot or toe lump or mass"
myocarditis,"sharp chest pain, dizziness, palpitations"
preeclampsia,"sharp abdominal pain, headache, lower abdominal pain, pain during pregnancy, vaginal redness, spots or clouds in vision, problems during pregnancy, recent pregnancy, uterine contractions"
ischemic heart disease,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, throat feels tight, peripheral edema, muscle pain, difficulty breathing, fatigue, lymphedema"
neurofibromatosis,"abnormal involuntary movements, groin mass, headache, abnormal appearing skin"
chickenpox,"cough, pain in testicles, abnormal appearing skin, fever, itching of skin, skin rash"
pancreatic cancer,"jaundice, sharp abdominal pain, nausea, diarrhea, arm swelling, ache all over, stomach bloating"
neuropathy due to drugs,"cough, vomiting, foot or toe pain, problems with movement, loss of sensation"
croup,"shortness of breath, hoarse voice, sore throat, cough, nasal congestion, vomiting, wheezing, fever, coryza, abnormal breathing sounds, pulling at ears"
idiopathic excessive menstruation,"sharp abdominal pain, involuntary urination, vaginal discharge, intermenstrual bleeding, cramps and spasms, blood clots during menstrual periods, long menstrual periods, heavy menstrual flow, unpredictable menstruation, painful menstruation, frequent menstruation"
amblyopia,"pus draining from ear, eye deviation, diminished vision, cross-eyed, pain in eye"
meckel diverticulum,"lower abdominal pain, knee lump or mass"
dislocation of the wrist,"depression, elbow weakness, hand or finger pain, arm pain"
ear drum damage,"cough, nasal congestion, diminished hearing, pus draining from ear, ear pain, ringing in ear, plugged feeling in ear, fluid in ear, pulling at ears, redness in ear, bleeding from ear"
erectile dysfunction,"retention of urine, pain in testicles, involuntary urination, pain during intercourse, frequent urination, blood in urine, impotence, symptoms of prostate, excessive urination at night, loss of sex drive"
temporary or benign blood in urine,"retention of urine, suprapubic pain, sharp abdominal pain, painful urination, involuntary urination, frequent urination, lower abdominal pain, blood in urine, back pain, regurgitation, regurgitation.1, symptoms of bladder"
kidney disease due to longstanding hypertension,"shortness of breath, difficulty speaking, feeling cold, symptoms of the kidneys"
chondromalacia of the patella,"leg pain, knee pain, bones are painful, knee weakness, knee swelling, problems with movement"
onychomycosis,"skin swelling, abnormal appearing skin, skin growth, foot or toe pain, skin on leg or foot looks infected, irregular appearing nails, skin dryness, peeling, scaliness, or roughness, too little hair, skin rash"
urethral disorder,"retention of urine, suprapubic pain, abusing alcohol, sharp abdominal pain, vomiting, painful urination, involuntary urination, side pain"
lyme disease,"depressive or psychotic symptoms, hip pain, headache, abnormal appearing skin, symptoms of the face, fever, fatigue"
